Td	ID	Tj	Df	Dd	Db	
1	2005	1	0	0	0
1	2006	1	-2	2	0
1	2003	1	-2	2	0
2	2014	2	0	0	0
2	2011	2	-3	3	0
2	2009	2	-3	3	0
3	2023	3	0	0	0
3	2020	3	-4	4	0
3	2018	3	-4	4	0
4	2032	4	0	0	0
4	2029	4	-5	5	0
4	2027	4	-5	5	0
5	2038	5	0	0	0
5	2002	1	-2	6	4
5	2043	5	-6	6	0
6	2047	6	0	0	0
6	2052	6	-7	7	0
7	2056	7	0	0	0
7	2061	7	-8	8	0
8	2065	8	0	0	0
8	2070	8	-9	9	0
9	2074	9	0	0	0
9	2079	9	-10	10	0
10	2089	10	-11	11	0
11	2098	11	-12	12	0
12	2107	12	-13	13	0
13	2111	13	0	0	0
13	2115	13	-14	14	0
13	2114	13	-14	14	0
13	2109	13	-14	14	0
13	18	13	0	0	0
14	2120	14	0	0	0
14	2124	14	-15	15	0
14	2123	14	-15	15	0
14	2118	14	-15	15	0
14	27	14	0	0	0
15	2129	15	0	0	0
15	2133	15	-16	16	0
15	2132	15	-16	16	0
15	2127	15	-16	16	0
15	36	15	0	0	0
16	2138	16	-17	17	0
16	2136	16	0	0	0
16	2140	16	-17	17	0
17	2147	17	-18	18	0
17	2139	16	0	1	1
17	2149	17	-18	18	0
18	2154	18	-19	19	0
18	2142	16	0	2	2
18	2158	18	-19	19	0
19	2148	17	0	2	2
19	2157	18	-19	20	1
19	69	19	0	0	0
19	72	19	0	0	0
20	2145	17	1	2	3
20	2156	18	1	1	2
20	74	20	0	21	0
20	78	20	0	0	0
21	2160	18	1	2	3
21	2151	17	0	4	4
21	83	21	0	22	0
21	81	20	0	1	1
21	68	19	0	2	2
22	2168	22	0	0	0
22	2165	22	-23	23	0
22	2167	22	-23	23	0
22	65	19	0	23	3
22	87	21	1	0	1
23	2177	23	0	0	0
23	2174	23	-24	24	0
23	2176	23	-24	24	0
23	90	21	2	0	2
23	77	20	0	3	3
23	96	22	1	0	1
24	2186	24	0	0	0
24	2183	24	-25	25	0
24	2185	24	-25	25	0
24	86	21	0	3	3
24	105	23	1	0	1
24	114	24	0	0	0
25	2195	25	0	0	0
25	2192	25	-26	26	0
25	2194	25	-26	26	0
25	123	25	0	0	0
26	2204	26	0	0	0
26	2201	26	-27	27	0
26	2203	26	-27	27	0
26	132	26	0	0	0
27	2213	27	0	0	0
27	2210	27	-28	28	0
27	2212	27	-28	28	0
27	141	27	0	0	0
28	2219	28	0	0	0
28	2224	28	0	0	0
28	152	28	0	0	0
29	2230	29	0	0	0
29	2220	28	-29	30	1
29	2222	28	-29	30	1
29	161	29	0	0	0
30	2237	30	0	0	0
30	2238	30	-31	31	0
30	2232	29	-30	31	1
30	170	30	0	0	0
31	2221	28	-29	32	3
31	2242	30	1	0	1
31	2241	30	-31	32	1
31	179	31	0	0	0
32	2251	31	1	0	1
32	2248	31	-32	33	1
32	2250	31	-32	33	1
32	188	32	0	0	0
33	2247	31	-32	34	2
33	2246	31	0	2	2
33	2267	33	-34	34	0
33	2258	32	-33	34	1
33	2259	32	-33	34	1
34	2255	32	2	0	2
34	2228	29	4	1	5
34	2276	34	-35	35	0
34	2249	31	-32	35	3
35	2239	30	-31	36	5
35	2240	30	-31	36	5
35	2285	35	-36	36	0
36	2260	32	3	1	4
36	2294	36	-37	37	0
36	2231	29	-30	37	7
37	2268	33	4	0	4
37	2229	29	0	8	8
37	2257	32	-33	38	5
37	2223	28	-29	38	9
37	2303	37	-38	38	0
37	227	37	0	38	0
37	178	31	0	6	6
38	2286	35	0	3	3
38	2308	38	-39	39	0
38	2314	38	-39	39	0
38	238	38	0	39	0
38	236	38	0	0	0
39	2304	37	0	2	2
39	2317	39	-40	40	0
39	2323	39	-40	40	0
39	247	39	0	40	0
39	245	39	0	0	0
39	242	38	0	1	1
40	2307	38	1	1	2
40	2326	40	-41	41	0
40	2332	40	-41	41	0
40	256	40	0	41	0
40	254	40	0	0	0
41	2316	39	1	1	2
41	2335	41	-42	42	0
41	2341	41	-42	42	0
41	251	39	0	2	2
42	2325	40	1	1	2
42	2344	42	-43	43	0
42	2350	42	-43	43	0
42	263	41	1	0	1
43	2334	41	1	1	2
43	2353	43	-44	44	0
43	2359	43	-44	44	0
43	283	43	0	44	0
43	272	42	1	0	1
44	2366	44	-45	45	0
44	274	42	0	45	2
44	269	41	1	2	3
44	281	43	0	1	1
45	2370	45	-46	46	0
45	265	41	0	46	4
45	278	42	1	2	3
45	291	44	0	1	1
46	2379	46	-47	47	0
46	2233	29	1	16	17
46	218	36	0	47	10
46	287	43	1	2	3
46	260	40	0	6	6
47	2382	46	-47	48	1
47	2388	47	-48	48	0
47	209	35	0	48	12
47	309	46	0	1	1
48	2375	45	-46	49	3
48	2402	48	-49	49	0
48	200	34	0	49	14
48	300	45	1	2	3
49	2363	44	5	0	5
49	2390	47	-48	50	2
49	2412	49	-50	50	0
49	337	49	0	50	0
49	341	49	0	0	0
49	327	48	0	1	1
49	318	47	0	2	2
50	2397	48	-49	51	2
50	2421	50	-51	51	0
50	346	50	0	51	0
50	350	50	0	0	0
